feature,importance
X_gravity_grad,0.11707018716456181
X_gravity,0.11144829367995708
X_coords_0,0.09904769056373879
X_mag_2,0.09473880521267887
X_coords_1,0.0918407520283659
X_mag_1,0.07641815568395814
X_mag_0,0.0709696399357789
X_geo_10,0.050754081489012205
X_geo_4,0.047920146722176885
X_geo_8,0.04722794816230107
X_geo_0,0.0389864782302896
X_geo_9,0.03232019817269033
X_geo_3,0.03196737888003657
X_geo_13,0.02710604915638934
X_geo_7,0.012176229902798133
X_geo_15,0.010861693902369764
X_geo_12,0.005374613075664117
X_geo_11,0.004932831565106184
X_geochem_6,0.004491885324364767
X_geo_6,0.004211540686255982
X_geo_2,0.003915080587419448
X_geo_1,0.003428545021981965
X_geochem_7,0.0030911593208147272
X_geo_5,0.003090763756574022
X_geochem_3,0.0017864839470063283
X_geochem_5,0.0015861720368407107
X_geochem_0,0.0014280924828864404
X_geochem_4,0.0008392780439593107
X_geochem_1,0.0005053830261274195
X_geochem_2,0.00035882964164439887
X_geo_14,0.00010561259625080507
X_geo_16,0.0
X_geo_17,0.0
