rank,mineral,lon,lat,rf_prob,bayes_mean,bayes_std
1,li,-89.49935509167894,37.42060301869711,0.011897103579459336,,
2,li,-90.4493550916789,37.470603018697105,0.011897103579459336,,
3,li,-90.6993550916789,37.5706030186971,0.011897103579459336,,
4,li,-90.3993550916789,38.22060301869706,0.011897103579459336,,
5,li,-90.3993550916789,37.52060301869711,0.011897103579459336,,
6,li,-90.6993550916789,37.62060301869709,0.011897103579459336,,
7,li,-89.59935509167893,37.37060301869711,0.011897103579459336,,
8,li,-94.39935509167866,37.120603018697125,0.011897103579459336,,
9,li,-90.34935509167889,38.22060301869706,0.011897103579459336,,
10,li,-90.1993550916789,37.97060301869708,0.011897103579459336,,
